# stm32-ai-deployer watch trace v1
# board=STM32H7 elf= model=anomaly_cnn_int8 started=2026-09-09T12:41:08
# targetHz=200 items=6
# item,0,_end,0x20002c00,u32,hex,1,0,,bssEnd
# item,1,g_ai_last_inference_us,0x20000f24,u32,dec,0.001,0,ms,inferenceUs
# item,2,g_ai_infer_count,0x20000f20,u32,dec,1,0,,inferCount
# item,3,g_ai_last_class,0x20000f1c,u8,dec,1,0,,lastClass
# item,4,g_ai_last_confidence,0x20000f1b,u8,dec,1,0,%,confidence
# item,5,uwTick,0x20002aac,u32,dec,1,0,ms,hwTick
t,0,1,2,3,4,5
28.625696,745931122,927,66657,1,99,3136613
28.630634,745931122,927,66657,1,99,3136618
28.635220,745931122,927,66657,1,99,3136623
28.640184,745931122,927,66658,1,99,3136628
28.645876,745931122,927,66658,1,99,3136633
28.650885,745931122,927,66658,1,99,3136638
28.655895,745931122,927,66658,1,99,3136643
28.660894,745931122,927,66658,1,99,3136648
28.665841,745931122,927,66658,1,99,3136653
28.670867,745931122,927,66658,1,99,3136658
28.675904,745931122,927,66658,1,99,3136663
28.680922,745931122,927,66658,1,99,3136668
28.685906,745931122,927,66659,1,99,3136673
28.690858,745931122,927,66659,1,99,3136678
28.695880,745931122,927,66659,1,99,3136683
28.700870,745931122,927,66659,1,99,3136688
28.705877,745931122,927,66659,1,99,3136693
28.710883,745931122,927,66659,1,99,3136698
28.715905,745931122,927,66659,1,99,3136703
28.720891,745931122,927,66659,1,99,3136708
28.725878,745931122,927,66659,1,99,3136713
28.730851,745931122,927,66659,1,99,3136718
28.735880,745931122,927,66660,1,99,3136723
28.740876,745931122,927,66660,1,99,3136728
28.745252,745931122,927,66660,1,99,3136732
28.750258,745931122,927,66660,1,99,3136737
28.755358,745931122,927,66660,1,99,3136742
28.760230,745931122,927,66660,1,99,3136747
28.765254,745931122,927,66660,1,99,3136752
28.770772,745931122,927,66660,1,99,3136758
28.775388,745931122,927,66660,1,99,3136762
28.780396,745931122,927,66660,1,99,3136767
28.785403,745931122,927,66661,1,99,3136772
28.790401,745931122,927,66661,1,99,3136777
28.795432,745931122,927,66661,1,99,3136782
28.800403,745931122,927,66661,1,99,3136787
28.805433,745931122,927,66661,1,99,3136792
28.810410,745931122,927,66661,1,99,3136797
28.815423,745931122,927,66661,1,99,3136802
28.820401,745931122,927,66661,1,99,3136807
28.824926,745931122,927,66661,1,99,3136812
28.829926,745931122,927,66661,1,99,3136816
28.834921,745931122,927,66662,1,99,3136822
28.839930,745931122,927,66662,1,99,3136827
28.845089,745931122,927,66662,1,99,3136832
28.849930,745931122,927,66662,1,99,3136837
28.854928,745931122,927,66662,1,99,3136841
28.860016,745931122,927,66662,1,99,3136847
28.864934,745931122,927,66662,1,99,3136851
28.869937,745931122,927,66662,1,99,3136856
28.875006,745931122,927,66662,1,99,3136861
28.880526,745931122,927,66663,1,99,3136867
28.885483,745931122,927,66663,1,99,3136872
28.890473,745931122,927,66663,1,99,3136877
28.895889,745931122,927,66663,1,99,3136883
28.900897,745931122,927,66663,1,99,3136887
28.905887,745931122,927,66663,1,99,3136892
28.910852,745931122,927,66663,1,99,3136897
28.915565,745931122,927,66663,1,99,3136902
28.920565,745931122,927,66663,1,99,3136907
28.925612,745931122,927,66663,1,99,3136912
28.930621,745931122,927,66664,1,99,3136917
28.935661,745931122,927,66664,1,99,3136922
28.940621,745931122,927,66664,1,99,3136927
28.945633,745931122,927,66664,1,99,3136932
28.950625,745931122,927,66664,1,99,3136937
28.955614,745931122,927,66664,1,99,3136942
28.960726,745931122,927,66664,1,99,3136947
28.965676,745931122,927,66664,1,99,3136952
28.970675,745931122,927,66664,1,99,3136957
28.975649,745931122,927,66665,1,99,3136962
28.980735,745931122,927,66665,1,99,3136967
28.985936,745931122,927,66665,1,99,3136972
28.990725,745931122,927,66665,1,99,3136977
28.995727,745931122,927,66665,1,99,3136982
29.000738,745931122,927,66665,1,99,3136987
29.005651,745931122,927,66665,1,99,3136992
29.010830,745931122,927,66665,1,99,3136997
29.015830,745931122,927,66665,1,99,3137002
29.020844,745931122,927,66665,1,99,3137007
29.025916,745931122,927,66666,1,99,3137012
29.030811,745931122,927,66666,1,99,3137017
29.035818,745931122,927,66666,1,99,3137022
29.040817,745931122,927,66666,1,99,3137027
29.045816,745931122,927,66666,1,99,3137032
29.050861,745931122,927,66666,1,99,3137036
29.055851,745931122,927,66666,1,99,3137041
29.060847,745931122,927,66666,1,99,3137047
29.065845,745931122,927,66666,1,99,3137051
29.070411,745931122,927,66667,1,99,3137056
29.075432,745931122,927,66667,1,99,3137061
29.080403,745931122,927,66667,1,99,3137066
29.084971,745931122,927,66667,1,99,3137071
29.089962,745931122,927,66667,1,99,3137076
29.095452,745931122,927,66667,1,99,3137081
29.100470,745931122,927,66667,1,99,3137086
29.105484,745931122,927,66667,1,99,3137091
29.110518,745931122,927,66667,1,99,3137096
29.115475,745931122,927,66668,1,99,3137101
29.120502,745931122,927,66668,1,99,3137106
29.126058,745931122,927,66668,1,99,3137112
29.130550,745931122,927,66668,1,99,3137116
29.134977,745931122,927,66668,1,99,3137120
29.139954,745931122,927,66668,1,99,3137125
29.144966,745931122,927,66668,1,99,3137130
29.149963,745931122,927,66668,1,99,3137135
29.154961,745931122,927,66668,1,99,3137140
29.160028,745931122,927,66668,1,99,3137145
29.165002,745931122,927,66669,1,99,3137150
29.170009,745931122,927,66669,1,99,3137155
29.175518,745931122,927,66669,1,99,3137161
29.180512,745931122,927,66669,1,99,3137166
29.185069,745931122,927,66669,1,99,3137170
29.190107,745931122,927,66669,1,99,3137175
29.195039,745931122,927,66669,1,99,3137180
29.200042,745931122,927,66669,1,99,3137185
29.205156,745931122,927,66669,1,99,3137190
29.210043,745931122,927,66670,1,99,3137195
29.215046,745931122,927,66670,1,99,3137200
29.220304,745931122,927,66670,1,99,3137206
29.225107,745931122,927,66670,1,99,3137210
29.230039,745931122,927,66670,1,99,3137215
29.235124,745931122,927,66670,1,99,3137220
29.240052,745931122,927,66670,1,99,3137225
29.245568,745931122,927,66670,1,99,3137230
29.250606,745931122,927,66670,1,99,3137235
29.255571,745931122,927,66670,1,99,3137240
29.260552,745931122,927,66671,1,99,3137245
29.265822,745931122,927,66671,1,99,3137251
29.270565,745931122,927,66671,1,99,3137255
29.275651,745931122,927,66671,1,99,3137261
29.280392,745931122,927,66671,1,99,3137265
29.285916,745931122,927,66671,1,99,3137271
29.290910,745931122,927,66671,1,99,3137276
29.295414,745931122,927,66671,1,99,3137280
29.300513,745931122,927,66671,1,99,3137285
29.305445,745931122,927,66672,1,99,3137290
29.310439,745931122,927,66672,1,99,3137295
29.315627,745931122,927,66672,1,99,3137300
29.320605,745931122,927,66672,1,99,3137305
29.325709,745931122,927,66672,1,99,3137310
29.330579,745931122,927,66672,1,99,3137315
29.335575,745931122,927,66672,1,99,3137320
29.340620,745931122,927,66672,1,99,3137325
29.345410,745931122,927,66672,1,99,3137330
29.350372,745931122,927,66672,1,99,3137335
29.355472,745931122,927,66673,1,99,3137340
29.360491,745931122,927,66673,1,99,3137345
29.365415,745931122,927,66673,1,99,3137350
29.370397,745931122,927,66673,1,99,3137355
29.375903,745931122,927,66673,1,99,3137360
29.380793,745931122,927,66673,1,99,3137365
29.385831,745931122,927,66673,1,99,3137370
29.390823,745931122,927,66673,1,99,3137375
29.395820,745931122,927,66673,1,99,3137380
29.400799,745931122,927,66674,1,99,3137385
29.405808,745931122,927,66674,1,99,3137390
29.410320,745931122,927,66674,1,99,3137395
29.415308,745931122,927,66674,1,99,3137400
29.420399,745931122,927,66674,1,99,3137405
29.425304,745931122,927,66674,1,99,3137409
29.430312,745931122,927,66674,1,99,3137414
29.435384,745931122,927,66674,1,99,3137419
